LL,AI,CT03-T|AI,2020-02-21 04:53:00,Y,N,LL,2020-02-21 10:54:00
LL,AI,CT04-T|AI,2020-02-21 04:54:00,Y,N,LL,2020-02-21 10:55:00
LL,AI,CT05-T|AI,2020-02-21 04:57:00,Y,N,LL,2020-02-21 10:58:01
LL,AI,CT06-T|AI,2020-02-21 04:59:00,Y,N,LL,2020-02-21 11:00:00
LL,AI,CT07-T|AI,2020-02-21 05:00:22,Y,N,LL,2020-02-21 11:01:00
LL,AI,CT08-T|AI,2020-02-21 05:01:00,Y,N,LL,2020-02-21 11:02:00
LL,AI,CT09-T|AI,2020-02-21 05:08:00,Y,N,LL,2020-02-21 11:08:01
LL,AI,CT10-T|AI,2020-02-21 05:10:00,Y,N,LL,2020-02-21 11:11:00
LL,AI,CT11-T|AI,2020-02-21 05:10:00,Y,N,LL,2020-02-21 11:11:00
LL,AI,CT12-T|AI,2020-02-21 05:12:01,Y,N,LL,2020-02-21 11:13:00
LL,AI,FT01-T|AI,2020-02-21 05:15:00,Y,N,LL,2020-02-21 11:16:00
LL,AI,FT02-T|AI,2020-02-21 05:16:00,Y,N,LL,2020-02-21 11:17:01
LL,AI,FT03-T|AI,2020-02-21 05:18:00,Y,N,LL,2020-02-21 11:19:00
LL,AI,FT04-T|AI,2020-02-21 05:19:00,Y,N,LL,2020-02-21 11:20:00
LL,AI,FT05-T|AI,2020-02-21 05:20:21,Y,N,LL,2020-02-21 11:21:01
LL,AI,FT06-T|AI,2020-02-21 05:20:21,Y,N,LL,2020-02-21 11:21:01
LL,AI,FT07-T|AI,2020-02-21 05:22:00,Y,N,LL,2020-02-21 11:23:00
LL,AI,FT08-T|AI,2020-02-21 05:24:01,Y,N,LL,2020-02-21 11:25:00
LL,AI,FT09-T|AI,2020-02-21 05:26:00,Y,N,LL,2020-02-21 11:27:00
LL,AI,FT10-T|AI,2020-02-21 05:26:00,Y,N,LL,2020-02-21 11:27:00
LL,AI,FT11-T|AI,2020-02-21 05:27:00,Y,N,LL,2020-02-21 11:28:01
LL,AI,GT01-T|AI,2020-02-21 05:39:00,Y,N,LL,2020-02-21 11:40:00
LL,AI,GT02-T|AI,2020-02-21 05:41:01,Y,N,LL,2020-02-21 11:42:00
LL,AI,GT03-T|AI,2020-02-21 05:42:00,Y,N,LL,2020-02-21 11:43:00
LL,AI,GT04-T|AI,2020-02-21 05:44:00,Y,N,LL,2020-02-21 11:44:01
LL,AI,GT05-T|AI,2020-02-21 05:46:00,Y,N,LL,2020-02-21 11:47:00
LL,AI,GT06-T|AI,2020-02-21 05:46:00,Y,N,LL,2020-02-21 11:47:00
LL,AI,GT07-T|AI,2020-02-21 05:46:00,Y,N,LL,2020-02-21 11:47:00
LL,AI,GT08-T|AI,2020-02-21 05:47:00,Y,N,LL,2020-02-21 11:48:00
LL,AI,GT09-T|AI,2020-02-21 05:49:01,Y,N,LL,2020-02-21 11:50:00
LL,AI,GT10-T|AI,2020-02-21 05:49:01,Y,N,LL,2020-02-21 11:50:00
LL,AI,GT11-T|AI,2020-02-21 05:52:01,Y,N,LL,2020-02-21 11:53:01
LL,AI,GT12-T|AI,2020-02-21 05:55:00,Y,N,LL,2020-02-21 11:56:00
LL,AI,GT13-T|AI,2020-02-21 05:59:00,Y,N,LL,2020-02-21 12:00:00
LL,AI,GT14-T|AI,2020-02-21 06:02:00,Y,N,LL,2020-02-21 12:03:01
LL,AI,GT15-T|AI,2020-02-21 06:04:00,Y,N,LL,2020-02-21 12:05:00
LL,AI,JT01-T|AI,2020-02-21 06:04:00,Y,N,LL,2020-02-21 12:05:00
LL,AI,JT02-T|AI,2020-02-21 06:05:01,Y,N,LL,2020-02-21 12:06:00
LL,AI,JT03-T|AI,2020-02-21 06:05:01,Y,N,LL,2020-02-21 12:06:00
LL,AI,JT04-T|AI,2020-02-21 06:08:00,Y,N,LL,2020-02-21 12:09:00
LL,AI,JT05-T|AI,2020-02-21 06:11:00,Y,N,LL,2020-02-21 12:12:00
LL,AI,JT06-T|AI,2020-02-21 06:11:00,Y,N,LL,2020-02-21 12:12:00
LL,AI,JT07-T|AI,2020-02-21 06:12:00,Y,N,LL,2020-02-21 12:13:00
LL,AI,LT01-T|AI,2020-02-21 06:12:00,Y,N,LL,2020-02-21 12:13:00
LL,AI,JT08-T|AI,2020-02-21 06:14:00,Y,N,LL,2020-02-21 12:15:00
LL,AI,JT09-T|AI,2020-02-21 06:15:00,Y,N,LL,2020-02-21 12:16:00
LL,AI,LT02-T|AI,2020-02-21 06:16:00,Y,N,LL,2020-02-21 12:17:01
LL,AI,JT10-T|AI,2020-02-21 06:18:00,Y,N,LL,2020-02-21 12:19:01
LL,AI,LT03-T|AI,2020-02-21 06:18:00,Y,N,LL,2020-02-21 12:19:01
LL,AI,JT11-T|AI,2020-02-21 06:24:00,Y,N,LL,2020-02-21 12:24:01
LL,AI,LT04-T|AI,2020-02-21 06:24:00,Y,N,LL,2020-02-21 12:24:01
LL,AI,JT12-T|AI,2020-02-21 06:27:00,Y,N,LL,2020-02-21 12:28:01
LL,AI,NT01-T|AI,2020-02-21 06:34:00,Y,N,LL,2020-02-21 12:35:01
LL,AI,NT02-T|AI,2020-02-21 06:38:00,Y,N,LL,2020-02-21 12:39:00
LL,AI,NT03-T|AI,2020-02-21 06:39:00,Y,N,LL,2020-02-21 12:40:01
LL,AI,NT04-T|AI,2020-02-21 06:40:26,Y,N,LL,2020-02-21 12:41:01
LL,AI,RT01-T|AI,2020-02-21 06:46:00,Y,N,LL,2020-02-21 12:47:01
LL,AI,RT02-T|AI,2020-02-21 06:50:01,Y,N,LL,2020-02-21 12:51:01
LL,AI,RT03-T|AI,2020-02-21 06:53:00,Y,N,LL,2020-02-21 12:54:00
LL,AI,AT01-T|AI,2020-02-21 22:33:00,Y,N,LL,2020-02-22 04:34:01
LL,AI,AT02-T|AI,2020-02-21 22:33:00,Y,N,LL,2020-02-22 04:34:01
LL,AI,AT03-T|AI,2020-02-21 22:33:00,Y,N,LL,2020-02-22 04:34:01
LL,AI,AT04-T|AI,2020-02-21 22:35:00,Y,N,LL,2020-02-22 04:36:00
LL,AI,CT01-T|AI,2020-02-21 22:36:01,Y,N,LL,2020-02-22 04:37:00
LL,AI,CT02-T|AI,2020-02-21 22:38:00,Y,N,LL,2020-02-22 04:39:00
LL,AI,CT03-T|AI,2020-02-21 22:38:00,Y,N,LL,2020-02-22 04:39:00
LL,AI,CT04-T|AI,2020-02-21 22:39:00,Y,N,LL,2020-02-22 04:40:00
LL,AI,CT05-T|AI,2020-02-21 22:39:00,Y,N,LL,2020-02-22 04:40:00
LL,AI,CT06-T|AI,2020-02-21 22:41:01,Y,N,LL,2020-02-22 04:42:00
LL,AI,CT07-T|AI,2020-02-21 22:41:01,Y,N,LL,2020-02-22 04:42:00
LL,AI,CT08-T|AI,2020-02-21 22:43:00,Y,N,LL,2020-02-22 04:44:00
LL,AI,CT10-T|AI,2020-02-21 22:43:00,Y,N,LL,2020-02-22 04:44:00
LL,AI,CT11-T|AI,2020-02-21 22:43:00,Y,N,LL,2020-02-22 04:44:00
LL,AI,CT09-T|AI,2020-02-21 22:44:01,Y,N,LL,2020-02-22 04:45:00
LL,AI,CT12-T|AI,2020-02-21 22:44:01,Y,N,LL,2020-02-22 04:45:00
LL,AI,FT04-T|AI,2020-02-21 22:50:00,Y,N,LL,2020-02-22 04:51:01
LL,AI,FT05-T|AI,2020-02-21 22:50:00,Y,N,LL,2020-02-22 04:51:01
LL,AI,FT06-T|AI,2020-02-21 22:50:00,Y,N,LL,2020-02-22 04:51:01
LL,AI,FT02-T|AI,2020-02-21 22:51:00,Y,N,LL,2020-02-22 04:52:00
LL,AI,FT03-T|AI,2020-02-21 22:51:00,Y,N,LL,2020-02-22 04:52:00
LL,AI,FT01-T|AI,2020-02-21 22:52:00,Y,N,LL,2020-02-22 04:53:00
LL,AI,FT07-T|AI,2020-02-21 22:52:00,Y,N,LL,2020-02-22 04:53:00
LL,AI,FT08-T|AI,2020-02-21 22:53:00,Y,N,LL,2020-02-22 04:54:00
LL,AI,FT09-T|AI,2020-02-21 22:56:00,Y,N,LL,2020-02-22 04:57:01
LL,AI,FT10-T|AI,2020-02-21 22:58:00,Y,N,LL,2020-02-22 04:59:00
LL,AI,FT11-T|AI,2020-02-21 22:58:00,Y,N,LL,2020-02-22 04:59:00
LL,AI,GT01-T|AI,2020-02-21 23:04:00,Y,N,LL,2020-02-22 05:04:01
LL,AI,GT02-T|AI,2020-02-21 23:06:00,Y,N,LL,2020-02-22 05:07:00
LL,AI,GT03-T|AI,2020-02-21 23:09:00,Y,N,LL,2020-02-22 05:10:00
LL,AI,GT04-T|AI,2020-02-21 23:09:00,Y,N,LL,2020-02-22 05:10:00
LL,AI,GT05-T|AI,2020-02-21 23:10:01,Y,N,LL,2020-02-22 05:11:00
LL,AI,GT06-T|AI,2020-02-21 23:11:01,Y,N,LL,2020-02-22 05:12:00
LL,AI,GT07-T|AI,2020-02-21 23:11:01,Y,N,LL,2020-02-22 05:12:01
LL,AI,GT08-T|AI,2020-02-21 23:11:01,Y,N,LL,2020-02-22 05:12:01
LL,AI,GT09-T|AI,2020-02-21 23:13:00,Y,N,LL,2020-02-22 05:14:00
LL,AI,GT10-T|AI,2020-02-21 23:13:00,Y,N,LL,2020-02-22 05:14:00
LL,AI,GT11-T|AI,2020-02-21 23:15:01,Y,N,LL,2020-02-22 05:16:00
LL,AI,GT12-T|AI,2020-02-21 23:16:00,Y,N,LL,2020-02-22 05:17:00
LL,AI,GT13-T|AI,2020-02-21 23:18:00,Y,N,LL,2020-02-22 05:19:00
LL,AI,GT14-T|AI,2020-02-21 23:19:01,Y,N,LL,2020-02-22 05:20:01
LL,AI,JT01-T|AI,2020-02-21 23:19:01,Y,N,LL,2020-02-22 05:20:01
LL,AI,JT02-T|AI,2020-02-21 23:19:01,Y,N,LL,2020-02-22 05:20:01
LL,AI,GT15-T|AI,2020-02-21 23:20:03,Y,N,LL,2020-02-22 05:21:01
LL,AI,JT03-T|AI,2020-02-21 23:20:03,Y,N,LL,2020-02-22 05:21:01
LL,AI,JT04-T|AI,2020-02-21 23:22:00,Y,N,LL,2020-02-22 05:23:00
LL,AI,JT05-T|AI,2020-02-21 23:22:00,Y,N,LL,2020-02-22 05:23:00
LL,AI,JT06-T|AI,2020-02-21 23:23:01,Y,N,LL,2020-02-22 05:24:00
LL,AI,JT07-T|AI,2020-02-21 23:23:01,Y,N,LL,2020-02-22 05:24:00
LL,AI,LT01-T|AI,2020-02-21 23:23:01,Y,N,LL,2020-02-22 05:24:00
LL,AI,JT08-T|AI,2020-02-21 23:24:00,Y,N,LL,2020-02-22 05:25:00
LL,AI,JT09-T|AI,2020-02-21 23:24:00,Y,N,LL,2020-02-22 05:25:00
LL,AI,JT10-T|AI,2020-02-21 23:24:00,Y,N,LL,2020-02-22 05:25:00
LL,AI,JT11-T|AI,2020-02-21 23:24:00,Y,N,LL,2020-02-22 05:25:00
LL,AI,LT02-T|AI,2020-02-21 23:24:00,Y,N,LL,2020-02-22 05:25:00
LL,AI,LT03-T|AI,2020-02-21 23:24:00,Y,N,LL,2020-02-22 05:25:00
LL,AI,JT12-T|AI,2020-02-21 23:25:01,Y,N,LL,2020-02-22 05:26:00
LL,AI,LT04-T|AI,2020-02-21 23:25:01,Y,N,LL,2020-02-22 05:26:00
LL,AI,NT01-T|AI,2020-02-21 23:27:01,Y,N,LL,2020-02-22 05:28:00
LL,AI,NT02-T|AI,2020-02-21 23:27:01,Y,N,LL,2020-02-22 05:28:00
LL,AI,NT03-T|AI,2020-02-21 23:28:01,Y,N,LL,2020-02-22 05:29:00
LL,AI,NT04-T|AI,2020-02-21 23:28:01,Y,N,LL,2020-02-22 05:29:00
LL,AI,RT02-T|AI,2020-02-21 23:28:01,Y,N,LL,2020-02-22 05:29:00
LL,AI,RT01-T|AI,2020-02-21 23:29:00,Y,N,LL,2020-02-22 05:30:01
LL,AI,RT03-T|AI,2020-02-21 23:29:00,Y,N,LL,2020-02-22 05:30:01
LL,AI,AT01-T|AI,2020-02-26 23:36:30,Y,N,LL,2020-02-27 05:37:01
LL,AI,AT02-T|AI,2020-02-26 23:36:40,Y,N,LL,2020-02-27 05:37:01
LL,AI,AT03-T|AI,2020-02-26 23:36:50,Y,N,LL,2020-02-27 05:37:01
LL,AI,CT02-T|AI,2020-02-26 23:36:10,Y,N,LL,2020-02-27 05:37:01
LL,AI,CT03-T|AI,2020-02-26 23:36:20,Y,N,LL,2020-02-27 05:37:01
LL,AI,CT04-T|AI,2020-02-26 23:36:30,Y,N,LL,2020-02-27 05:37:01
LL,AI,CT05-T|AI,2020-02-26 23:36:40,Y,N,LL,2020-02-27 05:37:01
LL,AI,CT06-T|AI,2020-02-26 23:36:50,Y,N,LL,2020-02-27 05:37:01
LL,AI,CT08-T|AI,2020-02-26 23:36:10,Y,N,LL,2020-02-27 05:37:01
LL,AI,CT09-T|AI,2020-02-26 23:36:20,Y,N,LL,2020-02-27 05:37:01
LL,AI,CT10-T|AI,2020-02-26 23:36:30,Y,N,LL,2020-02-27 05:37:01
LL,AI,CT11-T|AI,2020-02-26 23:36:40,Y,N,LL,2020-02-27 05:37:01
LL,AI,CT12-T|AI,2020-02-26 23:36:50,Y,N,LL,2020-02-27 05:37:01
LL,AI,FT01-T|AI,2020-02-26 23:36:30,Y,N,LL,2020-02-27 05:37:02
LL,AI,FT02-T|AI,2020-02-26 23:36:40,Y,N,LL,2020-02-27 05:37:02
LL,AI,FT03-T|AI,2020-02-26 23:36:50,Y,N,LL,2020-02-27 05:37:02
LL,AI,FT05-T|AI,2020-02-26 23:36:10,Y,N,LL,2020-02-27 05:37:02
LL,AI,FT06-T|AI,2020-02-26 23:36:20,Y,N,LL,2020-02-27 05:37:02
LL,AI,FT07-T|AI,2020-02-26 23:36:30,Y,N,LL,2020-02-27 05:37:02
LL,AI,FT08-T|AI,2020-02-26 23:36:40,Y,N,LL,2020-02-27 05:37:02
LL,AI,FT09-T|AI,2020-02-26 23:36:50,Y,N,LL,2020-02-27 05:37:02
LL,AI,FT11-T|AI,2020-02-26 23:36:10,Y,N,LL,2020-02-27 05:37:02
LL,AI,GT02-T|AI,2020-02-26 23:36:10,Y,N,LL,2020-02-27 05:37:02
LL,AI,GT03-T|AI,2020-02-26 23:36:20,Y,N,LL,2020-02-27 05:37:02
LL,AI,GT04-T|AI,2020-02-26 23:36:30,Y,N,LL,2020-02-27 05:37:02
LL,AI,GT05-T|AI,2020-02-26 23:36:40,Y,N,LL,2020-02-27 05:37:02
LL,AI,GT06-T|AI,2020-02-26 23:36:50,Y,N,LL,2020-02-27 05:37:02
LL,AI,GT08-T|AI,2020-02-26 23:36:10,Y,N,LL,2020-02-27 05:37:02
LL,AI,GT09-T|AI,2020-02-26 23:36:20,Y,N,LL,2020-02-27 05:37:02
LL,AI,GT10-T|AI,2020-02-26 23:36:30,Y,N,LL,2020-02-27 05:37:02
LL,AI,GT11-T|AI,2020-02-26 23:36:40,Y,N,LL,2020-02-27 05:37:02
LL,AI,GT12-T|AI,2020-02-26 23:36:50,Y,N,LL,2020-02-27 05:37:02
LL,AI,GT14-T|AI,2020-02-26 23:36:10,Y,N,LL,2020-02-27 05:37:02
LL,AI,GT15-T|AI,2020-02-26 23:36:20,Y,N,LL,2020-02-27 05:37:02
LL,AI,JT01-T|AI,2020-02-26 23:36:30,Y,N,LL,2020-02-27 05:37:02
LL,AI,JT02-T|AI,2020-02-26 23:36:40,Y,N,LL,2020-02-27 05:37:02
LL,AI,JT03-T|AI,2020-02-26 23:36:50,Y,N,LL,2020-02-27 05:37:02
LL,AI,JT05-T|AI,2020-02-26 23:36:10,Y,N,LL,2020-02-27 05:37:02
LL,AI,JT06-T|AI,2020-02-26 23:36:20,Y,N,LL,2020-02-27 05:37:02
LL,AI,JT07-T|AI,2020-02-26 23:36:30,Y,N,LL,2020-02-27 05:37:02
LL,AI,JT08-T|AI,2020-02-26 23:36:40,Y,N,LL,2020-02-27 05:37:02
LL,AI,JT09-T|AI,2020-02-26 23:36:50,Y,N,LL,2020-02-27 05:37:02
LL,AI,JT11-T|AI,2020-02-26 23:36:10,Y,N,LL,2020-02-27 05:37:02
LL,AI,JT12-T|AI,2020-02-26 23:36:20,Y,N,LL,2020-02-27 05:37:02
LL,AI,LT01-T|AI,2020-02-26 23:36:10,Y,N,LL,2020-02-27 05:37:02
LL,AI,LT02-T|AI,2020-02-26 23:36:20,Y,N,LL,2020-02-27 05:37:02
LL,AI,LT03-T|AI,2020-02-26 23:36:30,Y,N,LL,2020-02-27 05:37:02
LL,AI,LT04-T|AI,2020-02-26 23:36:40,Y,N,LL,2020-02-27 05:37:02
LL,AI,NT01-T|AI,2020-02-26 23:36:50,Y,N,LL,2020-02-27 05:37:02
LL,AI,NT03-T|AI,2020-02-26 23:36:10,Y,N,LL,2020-02-27 05:37:02
LL,AI,NT04-T|AI,2020-02-26 23:36:20,Y,N,LL,2020-02-27 05:37:02
LL,AI,RT01-T|AI,2020-02-26 23:36:20,Y,N,LL,2020-02-27 05:37:02
LL,AI,RT02-T|AI,2020-02-26 23:36:30,Y,N,LL,2020-02-27 05:37:02
LL,AI,RT03-T|AI,2020-02-26 23:36:40,Y,N,LL,2020-02-27 05:37:02
LL,AI,AT04-T|AI,2020-02-26 23:42:00,Y,N,LL,2020-02-27 05:43:00
LL,AI,CT01-T|AI,2020-02-26 23:44:00,Y,N,LL,2020-02-27 05:45:00
LL,AI,CT07-T|AI,2020-02-26 23:47:00,Y,N,LL,2020-02-27 05:47:00
LL,AI,FT04-T|AI,2020-02-27 00:00:01,Y,N,LL,2020-02-27 06:01:00
LL,AI,FT10-T|AI,2020-02-27 00:07:00,Y,N,LL,2020-02-27 06:08:00
LL,AI,GT01-T|AI,2020-02-27 00:08:00,Y,N,LL,2020-02-27 06:09:00
LL,AI,GT07-T|AI,2020-02-27 00:20:00,Y,N,LL,2020-02-27 06:21:00
LL,AI,GT13-T|AI,2020-02-27 00:30:06,Y,N,LL,2020-02-27 06:31:00
LL,AI,CTA-101|AI,NULL,Y,N,LL,2020-02-27 06:31:00
LL,AI,JT04-T|AI,2020-02-27 00:38:00,Y,N,LL,2020-02-27 06:39:00
LL,AI,JT10-T|AI,2020-02-27 00:48:00,Y,N,LL,2020-02-27 06:49:00
LL,AI,NT02-T|AI,2020-02-27 01:01:00,Y,N,LL,2020-02-27 07:02:01
LL,AI,LT01-L|AI,2020-02-27 01:41:50,Y,N,LL,2020-02-27 07:42:00
LL,AI,DCT-0000|AI,2020-02-27 04:53:00,Y,N,LL,2020-02-27 11:31:00
LL,AI,AT04-T|AI,2020-02-27 20:55:00,Y,N,LL,2020-02-28 02:56:00
LL,AI,CT01-T|AI,2020-02-27 20:55:00,Y,N,LL,2020-02-28 02:56:00
LL,AI,GT14-T|AI,2020-02-27 21:23:10,Y,N,LL,2020-02-28 03:24:01
LL,AI,JT05-T|AI,2020-02-27 21:23:10,Y,N,LL,2020-02-28 03:24:01
LL,AI,JT11-T|AI,2020-02-27 21:23:10,Y,N,LL,2020-02-28 03:24:01
LL,AI,LT01-T|AI,2020-02-27 21:23:10,Y,N,LL,2020-02-28 03:24:01
LL,AI,NT03-T|AI,2020-02-27 21:24:10,Y,N,LL,2020-02-28 03:25:00
LL,AI,GT08-T|AI,2020-02-27 21:27:10,Y,N,LL,2020-02-28 03:28:00
LL,AI,GT15-T|AI,2020-02-27 21:27:20,Y,N,LL,2020-02-28 03:28:00
LL,AI,JT06-T|AI,2020-02-27 21:27:20,Y,N,LL,2020-02-28 03:28:00
LL,AI,JT12-T|AI,2020-02-27 21:27:20,Y,N,LL,2020-02-28 03:28:00
LL,AI,LT02-T|AI,2020-02-27 21:27:20,Y,N,LL,2020-02-28 03:28:00
LL,AI,NT04-T|AI,2020-02-27 21:27:20,Y,N,LL,2020-02-28 03:28:00
LL,AI,RT01-T|AI,2020-02-27 21:27:20,Y,N,LL,2020-02-28 03:28:00
LL,AI,CT03-T|AI,2020-02-27 21:28:20,Y,N,LL,2020-02-28 03:29:00
LL,AI,CT09-T|AI,2020-02-27 21:28:20,Y,N,LL,2020-02-28 03:29:00
LL,AI,FT06-T|AI,2020-02-27 21:28:20,Y,N,LL,2020-02-28 03:29:00
LL,AI,GT03-T|AI,2020-02-27 21:28:20,Y,N,LL,2020-02-28 03:29:00
LL,AI,GT09-T|AI,2020-02-27 21:28:20,Y,N,LL,2020-02-28 03:29:00
LL,AI,GT11-T|AI,2020-02-27 21:28:40,Y,N,LL,2020-02-28 03:29:00
LL,AI,JT01-T|AI,2020-02-27 21:28:30,Y,N,LL,2020-02-28 03:29:00
LL,AI,JT02-T|AI,2020-02-27 21:28:40,Y,N,LL,2020-02-28 03:29:00
LL,AI,JT07-T|AI,2020-02-27 21:28:30,Y,N,LL,2020-02-28 03:29:00
LL,AI,JT08-T|AI,2020-02-27 21:28:40,Y,N,LL,2020-02-28 03:29:00
LL,AI,LT03-T|AI,2020-02-27 21:28:30,Y,N,LL,2020-02-28 03:29:00
LL,AI,LT04-T|AI,2020-02-27 21:28:40,Y,N,LL,2020-02-28 03:29:00
LL,AI,RT02-T|AI,2020-02-27 21:28:30,Y,N,LL,2020-02-28 03:29:00
LL,AI,RT03-T|AI,2020-02-27 21:28:40,Y,N,LL,2020-02-28 03:29:00
LL,AI,AT01-T|AI,2020-02-27 21:29:30,Y,N,LL,2020-02-28 03:30:00
LL,AI,AT02-T|AI,2020-02-27 21:29:40,Y,N,LL,2020-02-28 03:30:00
LL,AI,AT03-T|AI,2020-02-27 21:29:50,Y,N,LL,2020-02-28 03:30:00
LL,AI,CT02-T|AI,2020-02-27 21:29:10,Y,N,LL,2020-02-28 03:30:00
LL,AI,CT04-T|AI,2020-02-27 21:29:30,Y,N,LL,2020-02-28 03:30:00
LL,AI,CT05-T|AI,2020-02-27 21:29:40,Y,N,LL,2020-02-28 03:30:00
LL,AI,CT06-T|AI,2020-02-27 21:29:50,Y,N,LL,2020-02-28 03:30:00
LL,AI,CT08-T|AI,2020-02-27 21:29:10,Y,N,LL,2020-02-28 03:30:00
LL,AI,CT10-T|AI,2020-02-27 21:29:30,Y,N,LL,2020-02-28 03:30:00
LL,AI,CT11-T|AI,2020-02-27 21:29:40,Y,N,LL,2020-02-28 03:30:00
LL,AI,CT12-T|AI,2020-02-27 21:29:50,Y,N,LL,2020-02-28 03:30:00
LL,AI,FT01-T|AI,2020-02-27 21:29:30,Y,N,LL,2020-02-28 03:30:00
LL,AI,FT02-T|AI,2020-02-27 21:29:40,Y,N,LL,2020-02-28 03:30:00
LL,AI,FT03-T|AI,2020-02-27 21:29:50,Y,N,LL,2020-02-28 03:30:00
LL,AI,FT05-T|AI,2020-02-27 21:29:10,Y,N,LL,2020-02-28 03:30:01
LL,AI,FT07-T|AI,2020-02-27 21:29:30,Y,N,LL,2020-02-28 03:30:01
LL,AI,FT08-T|AI,2020-02-27 21:29:40,Y,N,LL,2020-02-28 03:30:01
LL,AI,FT09-T|AI,2020-02-27 21:29:50,Y,N,LL,2020-02-28 03:30:01
LL,AI,FT11-T|AI,2020-02-27 21:29:10,Y,N,LL,2020-02-28 03:30:01
LL,AI,GT02-T|AI,2020-02-27 21:29:10,Y,N,LL,2020-02-28 03:30:01
LL,AI,GT04-T|AI,2020-02-27 21:29:30,Y,N,LL,2020-02-28 03:30:01
LL,AI,GT05-T|AI,2020-02-27 21:29:40,Y,N,LL,2020-02-28 03:30:01
LL,AI,GT06-T|AI,2020-02-27 21:29:50,Y,N,LL,2020-02-28 03:30:01
LL,AI,GT10-T|AI,2020-02-27 21:29:30,Y,N,LL,2020-02-28 03:30:01
LL,AI,GT12-T|AI,2020-02-27 21:29:50,Y,N,LL,2020-02-28 03:30:01
LL,AI,JT03-T|AI,2020-02-27 21:29:50,Y,N,LL,2020-02-28 03:30:01
LL,AI,JT09-T|AI,2020-02-27 21:29:50,Y,N,LL,2020-02-28 03:30:01
LL,AI,NT01-T|AI,2020-02-27 21:29:50,Y,N,LL,2020-02-28 03:30:01
LL,AI,CTA-101|AI,NULL,Y,N,LL,2020-02-28 08:31:03
LL,AI,CTA-101|AI,NULL,Y,N,LL,2020-02-28 12:31:02
LL,AI,NT02-T|AI,2020-02-29 04:40:00,Y,N,LL,2020-02-29 10:41:01
LL,AI,JT10-T|AI,2020-02-29 04:49:00,Y,N,LL,2020-02-29 10:50:00
LL,AI,JT04-T|AI,2020-02-29 04:58:00,Y,N,LL,2020-02-29 10:59:00
LL,AI,GT13-T|AI,2020-02-29 05:06:00,Y,N,LL,2020-02-29 11:07:00
LL,AI,GT01-T|AI,2020-02-29 05:12:00,Y,N,LL,2020-02-29 11:13:00
LL,AI,GT07-T|AI,2020-02-29 05:12:00,Y,N,LL,2020-02-29 11:13:00
LL,AI,FT10-T|AI,2020-02-29 05:15:00,Y,N,LL,2020-02-29 11:16:00
LL,AI,FT04-T|AI,2020-02-29 05:19:00,Y,N,LL,2020-02-29 11:20:00
LL,AI,CT07-T|AI,2020-02-29 05:22:00,Y,N,LL,2020-02-29 11:23:00
LL,AI,CT01-T|AI,2020-02-29 05:24:00,Y,N,LL,2020-02-29 11:25:00
LL,AI,AT04-T|AI,2020-02-29 05:26:00,Y,N,LL,2020-02-29 11:27:00
LL,AI,CT02-T|AI,2020-02-29 05:37:10,Y,N,LL,2020-02-29 11:38:00
LL,AI,CT08-T|AI,2020-02-29 05:37:10,Y,N,LL,2020-02-29 11:38:01
LL,AI,CT03-T|AI,2020-02-29 05:38:20,Y,N,LL,2020-02-29 11:39:00
LL,AI,CT09-T|AI,2020-02-29 05:38:20,Y,N,LL,2020-02-29 11:39:00
LL,AI,FT05-T|AI,2020-02-29 05:38:10,Y,N,LL,2020-02-29 11:39:00
LL,AI,FT06-T|AI,2020-02-29 05:38:20,Y,N,LL,2020-02-29 11:39:00
LL,AI,FT11-T|AI,2020-02-29 05:38:10,Y,N,LL,2020-02-29 11:39:00
LL,AI,GT02-T|AI,2020-02-29 05:38:10,Y,N,LL,2020-02-29 11:39:00
LL,AI,GT03-T|AI,2020-02-29 05:38:20,Y,N,LL,2020-02-29 11:39:00
LL,AI,GT08-T|AI,2020-02-29 05:38:10,Y,N,LL,2020-02-29 11:39:00
LL,AI,GT09-T|AI,2020-02-29 05:38:20,Y,N,LL,2020-02-29 11:39:00
LL,AI,GT14-T|AI,2020-02-29 05:38:10,Y,N,LL,2020-02-29 11:39:00
LL,AI,GT15-T|AI,2020-02-29 05:38:20,Y,N,LL,2020-02-29 11:39:00
LL,AI,JT05-T|AI,2020-02-29 05:38:10,Y,N,LL,2020-02-29 11:39:00
LL,AI,JT06-T|AI,2020-02-29 05:38:20,Y,N,LL,2020-02-29 11:39:00
LL,AI,JT11-T|AI,2020-02-29 05:38:10,Y,N,LL,2020-02-29 11:39:01
LL,AI,JT12-T|AI,2020-02-29 05:38:20,Y,N,LL,2020-02-29 11:39:01
LL,AI,LT01-T|AI,2020-02-29 05:38:10,Y,N,LL,2020-02-29 11:39:01
LL,AI,LT02-T|AI,2020-02-29 05:38:20,Y,N,LL,2020-02-29 11:39:01
LL,AI,NT03-T|AI,2020-02-29 05:38:10,Y,N,LL,2020-02-29 11:39:01
LL,AI,NT04-T|AI,2020-02-29 05:38:20,Y,N,LL,2020-02-29 11:39:01
LL,AI,RT01-T|AI,2020-02-29 05:38:20,Y,N,LL,2020-02-29 11:39:01
LL,AI,AT02-T|AI,2020-02-29 05:39:40,Y,N,LL,2020-02-29 11:40:00
LL,AI,AT03-T|AI,2020-02-29 05:39:50,Y,N,LL,2020-02-29 11:40:00
LL,AI,CT05-T|AI,2020-02-29 05:39:40,Y,N,LL,2020-02-29 11:40:00
